리뷰ID,작성일,채널,SKU,상품명,평점,리뷰내용,도움수
RV-0010,2026-06-04,자사몰,ST04,무아레 마스킹테이프 세트,3,가격 생각하면 적당한 것 같아요,2
RV-0017,2026-06-04,자사몰,TW07,무아레 세라믹 티팟,5,전자레인지도 되고 실용적이에요,2
RV-0084,2026-06-04,네이버 스마트스토어,FR04,무아레 화이트무스크 디퓨저,5,향이 은은하고 오래가서 만족해요,8
RV-0085,2026-06-04,자사몰,TW04,무아레 웨이브 플레이트 2P,3,그냥 평범해요,1
RV-0114,2026-06-04,자사몰,ST05,무아레 실링스티커,5,선물용으로 딱이에요,0
RV-0205,2026-06-04,네이버 스마트스토어,TW06,무아레 글라스 컵 4P,5,묵직하고 질감이 좋아요,1
RV-0387,2026-06-04,네이버 스마트스토어,ST04,무아레 마스킹테이프 세트,5,가성비 좋아요,0
RV-0453,2026-06-04,자사몰,FR07,무아레 디퓨저 리필 200ml,2,가격 대비 조금 아쉬워요,0
RV-0011,2026-06-05,자사몰,FR05,무아레 오션브리즈 디퓨저,1,디퓨저 스틱에 향이 잘 안 올라와요,5
RV-0054,2026-06-05,자사몰,TW04,무아레 웨이브 플레이트 2P,5,색감이 사진 그대로예요,1
RV-0065,2026-06-05,자사몰,TW04,무아레 웨이브 플레이트 2P,1,받자마자 금이 가 있었어요,1
RV-0138,2026-06-05,네이버 스마트스토어,ST02,무아레 그리드 노트,4,구성이 알차서 만족이에요,3
RV-0161,2026-06-05,자사몰,TW06,무아레 글라스 컵 4P,5,선물했더니 좋아하네요,2
RV-0182,2026-06-05,자사몰,ST04,무아레 마스킹테이프 세트,4,구성이 알차서 만족이에요,1
RV-0227,2026-06-05,네이버 스마트스토어,FB02,무아레 린넨 테이블러너,5,생각보다 고급스러워요,3
RV-0296,2026-06-05,자사몰,TW05,무아레 스톤 보울,4,마감이 깔끔하고 튼튼해요,5
RV-0311,2026-06-05,네이버 스마트스토어,FB02,무아레 린넨 테이블러너,5,생각보다 고급스러워요,0
RV-0337,2026-06-05,네이버 스마트스토어,ST02,무아레 그리드 노트,1,색이 화면과 살짝 달라요,2
RV-0357,2026-06-05,네이버 스마트스토어,FR03,무아레 시트러스 캔들,5,발향 밸런스가 딱 좋아요,2
RV-0381,2026-06-05,자사몰,TW01,무아레 스톤 머그,5,색감이 사진 그대로예요,8
RV-0419,2026-06-05,네이버 스마트스토어,FR05,무아레 오션브리즈 디퓨저,5,패키지가 고급스러워서 소장각이에요,0
RV-0429,2026-06-05,네이버 스마트스토어,FB05,무아레 웨이브 테이블러너,5,색이 은은해서 어디든 잘 어울려요,0
RV-0485,2026-06-05,자사몰,FR01,무아레 화이트무스크 캔들,5,집들이 선물했더니 반응 좋았어요,1
RV-0496,2026-06-05,네이버 스마트스토어,FR03,무아레 시트러스 캔들,5,향이 은은하고 오래가서 만족해요,1
RV-0511,2026-06-05,자사몰,ST01,무아레 데일리 다이어리,5,선물용으로 딱이에요,1
RV-0001,2026-06-06,자사몰,ST03,무아레 아트 엽서세트,5,가성비 좋아요,0
RV-0050,2026-06-06,자사몰,FR06,무아레 리넨 룸스프레이,5,발향 밸런스가 딱 좋아요,5
RV-0081,2026-06-06,네이버 스마트스토어,TW06,무아레 글라스 컵 4P,5,마감이 깔끔하고 튼튼해요,12
RV-0095,2026-06-06,자사몰,ST03,무아레 아트 엽서세트,5,선물용으로 딱이에요,0
RV-0101,2026-06-06,자사몰,TW04,무아레 웨이브 플레이트 2P,4,선물했더니 좋아하네요,1
RV-0129,2026-06-06,자사몰,TW03,무아레 스톤 플레이트 2P,4,색감이 사진 그대로예요,0
RV-0239,2026-06-06,네이버 스마트스토어,FB04,무아레 린넨 앞치마,3,기대보단 딱 그 정도예요,0
RV-0249,2026-06-06,네이버 스마트스토어,FR02,무아레 우드세이지 캔들,4,발향 밸런스가 딱 좋아요,1
RV-0293,2026-06-06,네이버 스마트스토어,FB02,무아레 린넨 테이블러너,4,도톰하고 촉감이 좋아요,3
RV-0330,2026-06-06,자사몰,FR08,무아레 미니 캔들 3종세트,2,색이 화면과 살짝 달라요,0
RV-0363,2026-06-06,자사몰,ST01,무아레 데일리 다이어리,4,종이질이 좋아서 필기감이 부드러워요,1
RV-0367,2026-06-06,자사몰,TW04,무아레 웨이브 플레이트 2P,1,완충재가 부족해서 파손 위험 높아 보여요,5
RV-0368,2026-06-06,자사몰,TW04,무아레 웨이브 플레이트 2P,4,마감이 깔끔하고 튼튼해요,0
RV-0374,2026-06-06,자사몰,FR01,무아레 화이트무스크 캔들,3,나쁘진 않은데 특별하진 않네요,0
RV-0378,2026-06-06,자사몰,TW03,무아레 스톤 플레이트 2P,5,선물했더니 좋아하네요,0
RV-0488,2026-06-06,자사몰,FR01,무아레 화이트무스크 캔들,5,패키지가 고급스러워서 소장각이에요,2
RV-0008,2026-06-07,자사몰,TW01,무아레 스톤 머그,5,마감이 깔끔하고 튼튼해요,5
RV-0053,2026-06-07,네이버 스마트스토어,FR05,무아레 오션브리즈 디퓨저,3,기대보단 딱 그 정도예요,5
RV-0059,2026-06-07,자사몰,ST04,무아레 마스킹테이프 세트,5,구성이 알차서 만족이에요,0
RV-0071,2026-06-07,자사몰,TW05,무아레 스톤 보울,2,가격 대비 조금 아쉬워요,3
RV-0075,2026-06-07,네이버 스마트스토어,ST01,무아레 데일리 다이어리,5,선물용으로 딱이에요,3
RV-0080,2026-06-07,자사몰,FR05,무아레 오션브리즈 디퓨저,2,리드에 향이 안 먹는 느낌이에요,0
RV-0119,2026-06-07,네이버 스마트스토어,TW01,무아레 스톤 머그,5,마감이 깔끔하고 튼튼해요,2
RV-0218,2026-06-07,네이버 스마트스토어,ST05,무아레 실링스티커,4,종이질이 좋아서 필기감이 부드러워요,12
RV-0292,2026-06-07,네이버 스마트스토어,FR06,무아레 리넨 룸스프레이,4,방에 두니 분위기가 확 살아요,0
RV-0314,2026-06-07,네이버 스마트스토어,ST03,무아레 아트 엽서세트,4,구성이 알차서 만족이에요,1
RV-0322,2026-06-07,자사몰,FB04,무아레 린넨 앞치마,5,생각보다 고급스러워요,0
RV-0340,2026-06-07,자사몰,TW07,무아레 세라믹 티팟,4,마감이 깔끔하고 튼튼해요,2
RV-0346,2026-06-07,자사몰,TW07,무아레 세라믹 티팟,3,기대보단 딱 그 정도예요,2
RV-0436,2026-06-07,자사몰,TW02,무아레 웨이브 머그,5,마감이 깔끔하고 튼튼해요,1
RV-0437,2026-06-07,네이버 스마트스토어,ST04,무아레 마스킹테이프 세트,3,가격 생각하면 적당한 것 같아요,0
RV-0448,2026-06-07,자사몰,FR07,무아레 디퓨저 리필 200ml,5,무아레 향 시리즈 계속 모으는 중이에요,5
RV-0471,2026-06-07,자사몰,TW03,무아레 스톤 플레이트 2P,4,전자레인지도 되고 실용적이에요,0
RV-0479,2026-06-07,네이버 스마트스토어,ST01,무아레 데일리 다이어리,4,선물용으로 딱이에요,12
RV-0486,2026-06-07,네이버 스마트스토어,TW05,무아레 스톤 보울,5,플레이팅이 살아나서 자주 써요,2
RV-0498,2026-06-07,자사몰,ST04,무아레 마스킹테이프 세트,5,가성비 좋아요,0
RV-0031,2026-06-08,자사몰,FR01,무아레 화이트무스크 캔들,4,집들이 선물했더니 반응 좋았어요,2
RV-0039,2026-06-08,네이버 스마트스토어,ST05,무아레 실링스티커,4,디자인이 예뻐서 데일리로 써요,0
RV-0064,2026-06-08,자사몰,FR05,무아레 오션브리즈 디퓨저,2,디퓨저 스틱에 향이 잘 안 올라와요,3
RV-0091,2026-06-08,자사몰,TW04,무아레 웨이브 플레이트 2P,4,마감이 깔끔하고 튼튼해요,0
RV-0135,2026-06-08,네이버 스마트스토어,TW02,무아레 웨이브 머그,5,전자레인지도 되고 실용적이에요,0
RV-0180,2026-06-08,네이버 스마트스토어,ST03,무아레 아트 엽서세트,3,무난해요,2
RV-0231,2026-06-08,자사몰,TW05,무아레 스톤 보울,1,배송이 생각보다 늦었어요,2
RV-0237,2026-06-08,네이버 스마트스토어,TW02,무아레 웨이브 머그,2,가격 대비 조금 아쉬워요,2
RV-0268,2026-06-08,자사몰,FB03,무아레 워시드 쿠션커버,2,기대했는데 아쉽네요,0
RV-0270,2026-06-08,자사몰,TW04,무아레 웨이브 플레이트 2P,2,배송 중에 깨져서 왔어요,0
RV-0279,2026-06-08,네이버 스마트스토어,FB03,무아레 워시드 쿠션커버,4,색이 은은해서 어디든 잘 어울려요,3
RV-0306,2026-06-08,자사몰,TW01,무아레 스톤 머그,4,마감이 깔끔하고 튼튼해요,1
RV-0332,2026-06-08,네이버 스마트스토어,FB02,무아레 린넨 테이블러너,4,도톰하고 촉감이 좋아요,5
RV-0339,2026-06-08,자사몰,TW01,무아레 스톤 머그,5,선물했더니 좋아하네요,2
RV-0356,2026-06-08,네이버 스마트스토어,FB05,무아레 웨이브 테이블러너,2,가격 대비 조금 아쉬워요,5
RV-0384,2026-06-08,자사몰,TW04,무아레 웨이브 플레이트 2P,4,묵직하고 질감이 좋아요,0
RV-0397,2026-06-08,자사몰,ST02,무아레 그리드 노트,4,구성이 알차서 만족이에요,0
RV-0480,2026-06-08,네이버 스마트스토어,TW01,무아레 스톤 머그,3,무난해요,0
RV-0487,2026-06-08,자사몰,ST03,무아레 아트 엽서세트,4,가성비 좋아요,0
RV-0022,2026-06-09,네이버 스마트스토어,TW05,무아레 스톤 보울,1,가격 대비 조금 아쉬워요,2
RV-0027,2026-06-09,자사몰,TW05,무아레 스톤 보울,5,전자레인지도 되고 실용적이에요,2
RV-0033,2026-06-09,네이버 스마트스토어,ST02,무아레 그리드 노트,3,나쁘진 않은데 특별하진 않네요,1
RV-0070,2026-06-09,네이버 스마트스토어,TW05,무아레 스톤 보울,2,색이 화면과 살짝 달라요,0
RV-0089,2026-06-09,자사몰,TW05,무아레 스톤 보울,4,색감이 사진 그대로예요,2
RV-0153,2026-06-09,자사몰,ST04,무아레 마스킹테이프 세트,5,가성비 좋아요,8
RV-0175,2026-06-09,네이버 스마트스토어,FB06,무아레 코튼 플레이스매트 2P,4,마감이 꼼꼼하네요,0
RV-0230,2026-06-09,네이버 스마트스토어,FB02,무아레 린넨 테이블러너,4,세탁해도 형태가 잘 유지돼요,0
RV-0236,2026-06-09,자사몰,TW03,무아레 스톤 플레이트 2P,4,마감이 깔끔하고 튼튼해요,0
RV-0262,2026-06-09,자사몰,TW02,무아레 웨이브 머그,4,묵직하고 질감이 좋아요,12
RV-0273,2026-06-09,네이버 스마트스토어,TW01,무아레 스톤 머그,5,색감이 사진 그대로예요,0
RV-0286,2026-06-09,네이버 스마트스토어,FR03,무아레 시트러스 캔들,5,방에 두니 분위기가 확 살아요,2
RV-0304,2026-06-09,자사몰,FR03,무아레 시트러스 캔들,5,향이 은은하고 오래가서 만족해요,0
RV-0317,2026-06-09,자사몰,FR07,무아레 디퓨저 리필 200ml,4,무아레 향 시리즈 계속 모으는 중이에요,0
RV-0353,2026-06-09,네이버 스마트스토어,ST03,무아레 아트 엽서세트,4,디자인이 예뻐서 데일리로 써요,3
RV-0360,2026-06-09,네이버 스마트스토어,TW02,무아레 웨이브 머그,4,묵직하고 질감이 좋아요,8
RV-0366,2026-06-09,네이버 스마트스토어,FB01,무아레 코튼 블랭킷,3,무난해요,0
RV-0372,2026-06-09,네이버 스마트스토어,TW03,무아레 스톤 플레이트 2P,3,그냥 평범해요,2
RV-0441,2026-06-09,자사몰,FR08,무아레 미니 캔들 3종세트,4,발향 밸런스가 딱 좋아요,3
RV-0473,2026-06-09,자사몰,ST03,무아레 아트 엽서세트,5,종이질이 좋아서 필기감이 부드러워요,1
RV-0497,2026-06-09,네이버 스마트스토어,FR03,무아레 시트러스 캔들,5,무아레 향 시리즈 계속 모으는 중이에요,2
RV-0510,2026-06-09,자사몰,FR05,무아레 오션브리즈 디퓨저,5,발향 밸런스가 딱 좋아요,2
RV-0512,2026-06-09,네이버 스마트스토어,TW06,무아레 글라스 컵 4P,4,플레이팅이 살아나서 자주 써요,2
RV-0005,2026-06-10,자사몰,TW02,무아레 웨이브 머그,3,나쁘진 않은데 특별하진 않네요,1
RV-0104,2026-06-10,네이버 스마트스토어,ST03,무아레 아트 엽서세트,3,기대보단 딱 그 정도예요,1
RV-0139,2026-06-10,자사몰,ST01,무아레 데일리 다이어리,2,색이 화면과 살짝 달라요,0
RV-0152,2026-06-10,자사몰,FB03,무아레 워시드 쿠션커버,4,마감이 꼼꼼하네요,8
RV-0157,2026-06-10,네이버 스마트스토어,FB02,무아레 린넨 테이블러너,5,세탁해도 형태가 잘 유지돼요,3
RV-0185,2026-06-10,네이버 스마트스토어,FR01,무아레 화이트무스크 캔들,2,가격 대비 조금 아쉬워요,1
RV-0194,2026-06-10,자사몰,TW02,무아레 웨이브 머그,5,플레이팅이 살아나서 자주 써요,3
RV-0215,2026-06-10,자사몰,TW01,무아레 스톤 머그,4,선물했더니 좋아하네요,0
RV-0223,2026-06-10,자사몰,TW03,무아레 스톤 플레이트 2P,5,선물했더니 좋아하네요,1
RV-0234,2026-06-10,네이버 스마트스토어,FR02,무아레 우드세이지 캔들,5,집들이 선물했더니 반응 좋았어요,0
RV-0240,2026-06-10,자사몰,ST02,무아레 그리드 노트,5,선물용으로 딱이에요,0
RV-0255,2026-06-10,네이버 스마트스토어,TW02,무아레 웨이브 머그,5,전자레인지도 되고 실용적이에요,0
RV-0256,2026-06-10,자사몰,FB04,무아레 린넨 앞치마,4,마감이 꼼꼼하네요,2
RV-0316,2026-06-10,네이버 스마트스토어,ST06,무아레 데스크 캘린더,5,가성비 좋아요,2
RV-0394,2026-06-10,자사몰,FR08,무아레 미니 캔들 3종세트,3,기대보단 딱 그 정도예요,1
RV-0420,2026-06-10,네이버 스마트스토어,FB02,무아레 린넨 테이블러너,4,색이 은은해서 어디든 잘 어울려요,1
RV-0430,2026-06-10,네이버 스마트스토어,FR05,무아레 오션브리즈 디퓨저,3,기대보단 딱 그 정도예요,1
RV-0434,2026-06-10,네이버 스마트스토어,TW02,무아레 웨이브 머그,4,묵직하고 질감이 좋아요,5
RV-0500,2026-06-10,자사몰,TW04,무아레 웨이브 플레이트 2P,4,묵직하고 질감이 좋아요,0
RV-0042,2026-06-11,네이버 스마트스토어,TW02,무아레 웨이브 머그,3,그냥 평범해요,0
RV-0078,2026-06-11,자사몰,FB03,무아레 워시드 쿠션커버,4,생각보다 고급스러워요,2
RV-0103,2026-06-11,네이버 스마트스토어,FR01,무아레 화이트무스크 캔들,5,패키지가 고급스러워서 소장각이에요,8
RV-0105,2026-06-11,자사몰,FR04,무아레 화이트무스크 디퓨저,5,발향 밸런스가 딱 좋아요,0
RV-0128,2026-06-11,자사몰,TW05,무아레 스톤 보울,3,무난해요,1
RV-0160,2026-06-11,자사몰,FB02,무아레 린넨 테이블러너,4,색이 은은해서 어디든 잘 어울려요,5
RV-0257,2026-06-11,네이버 스마트스토어,FR05,무아레 오션브리즈 디퓨저,3,무난해요,0
RV-0276,2026-06-11,네이버 스마트스토어,FR06,무아레 리넨 룸스프레이,3,나쁘진 않은데 특별하진 않네요,0
RV-0285,2026-06-11,자사몰,TW04,무아레 웨이브 플레이트 2P,5,묵직하고 질감이 좋아요,2
RV-0426,2026-06-11,자사몰,ST03,무아레 아트 엽서세트,3,그냥 평범해요,1
RV-0445,2026-06-11,자사몰,FB03,무아레 워시드 쿠션커버,5,세탁해도 형태가 잘 유지돼요,1
RV-0450,2026-06-11,네이버 스마트스토어,TW01,무아레 스톤 머그,3,무난해요,0
RV-0477,2026-06-11,자사몰,FR03,무아레 시트러스 캔들,4,발향 밸런스가 딱 좋아요,5
RV-0020,2026-06-12,네이버 스마트스토어,FB04,무아레 린넨 앞치마,5,마감이 꼼꼼하네요,3
RV-0021,2026-06-12,자사몰,TW03,무아레 스톤 플레이트 2P,5,묵직하고 질감이 좋아요,2
RV-0040,2026-06-12,네이버 스마트스토어,ST04,무아레 마스킹테이프 세트,3,그냥 평범해요,5
RV-0087,2026-06-12,자사몰,TW05,무아레 스톤 보울,5,플레이팅이 살아나서 자주 써요,2
RV-0096,2026-06-12,자사몰,FR01,무아레 화이트무스크 캔들,2,가격 대비 조금 아쉬워요,2
RV-0102,2026-06-12,자사몰,TW02,무아레 웨이브 머그,5,선물했더니 좋아하네요,5
RV-0122,2026-06-12,네이버 스마트스토어,ST02,무아레 그리드 노트,3,그냥 평범해요,0
RV-0131,2026-06-12,네이버 스마트스토어,FR07,무아레 디퓨저 리필 200ml,5,집들이 선물했더니 반응 좋았어요,0
RV-0163,2026-06-12,자사몰,FB04,무아레 린넨 앞치마,5,생각보다 고급스러워요,2
RV-0178,2026-06-12,네이버 스마트스토어,TW01,무아레 스톤 머그,3,나쁘진 않은데 특별하진 않네요,0
RV-0189,2026-06-12,네이버 스마트스토어,ST02,무아레 그리드 노트,5,종이질이 좋아서 필기감이 부드러워요,0
RV-0221,2026-06-12,네이버 스마트스토어,FB03,무아레 워시드 쿠션커버,4,도톰하고 촉감이 좋아요,2
RV-0225,2026-06-12,네이버 스마트스토어,TW03,무아레 스톤 플레이트 2P,4,전자레인지도 되고 실용적이에요,1
RV-0243,2026-06-12,네이버 스마트스토어,ST05,무아레 실링스티커,2,색이 화면과 살짝 달라요,0
RV-0248,2026-06-12,자사몰,TW01,무아레 스톤 머그,4,묵직하고 질감이 좋아요,0
RV-0307,2026-06-12,네이버 스마트스토어,TW04,무아레 웨이브 플레이트 2P,5,전자레인지도 되고 실용적이에요,0
RV-0320,2026-06-12,자사몰,TW05,무아레 스톤 보울,1,가격 대비 조금 아쉬워요,0
RV-0380,2026-06-12,네이버 스마트스토어,FB03,무아레 워시드 쿠션커버,4,마감이 꼼꼼하네요,2
RV-0385,2026-06-12,자사몰,FB01,무아레 코튼 블랭킷,5,마감이 꼼꼼하네요,2
RV-0410,2026-06-12,자사몰,TW04,무아레 웨이브 플레이트 2P,5,색감이 사진 그대로예요,3
RV-0421,2026-06-12,네이버 스마트스토어,FB04,무아레 린넨 앞치마,3,가격 생각하면 적당한 것 같아요,0
RV-0444,2026-06-12,네이버 스마트스토어,ST02,무아레 그리드 노트,5,종이질이 좋아서 필기감이 부드러워요,0
RV-0449,2026-06-12,자사몰,ST03,무아레 아트 엽서세트,4,구성이 알차서 만족이에요,5
RV-0460,2026-06-12,자사몰,FB02,무아레 린넨 테이블러너,5,마감이 꼼꼼하네요,0
RV-0502,2026-06-12,자사몰,ST03,무아레 아트 엽서세트,5,구성이 알차서 만족이에요,12
RV-0004,2026-06-13,자사몰,TW02,무아레 웨이브 머그,1,가격 대비 조금 아쉬워요,2
RV-0014,2026-06-13,자사몰,ST02,무아레 그리드 노트,3,그냥 평범해요,0
RV-0045,2026-06-13,자사몰,TW01,무아레 스톤 머그,5,마감이 깔끔하고 튼튼해요,0
RV-0052,2026-06-13,네이버 스마트스토어,ST06,무아레 데스크 캘린더,1,색이 화면과 살짝 달라요,5
RV-0060,2026-06-13,네이버 스마트스토어,TW02,무아레 웨이브 머그,5,전자레인지도 되고 실용적이에요,0
RV-0097,2026-06-13,자사몰,TW02,무아레 웨이브 머그,5,마감이 깔끔하고 튼튼해요,1
RV-0118,2026-06-13,네이버 스마트스토어,ST01,무아레 데일리 다이어리,5,구성이 알차서 만족이에요,0
RV-0159,2026-06-13,자사몰,FB02,무아레 린넨 테이블러너,3,가격 생각하면 적당한 것 같아요,0
RV-0187,2026-06-13,네이버 스마트스토어,ST05,무아레 실링스티커,4,선물용으로 딱이에요,3
RV-0196,2026-06-13,네이버 스마트스토어,ST02,무아레 그리드 노트,4,선물용으로 딱이에요,0
RV-0222,2026-06-13,자사몰,TW02,무아레 웨이브 머그,3,기대보단 딱 그 정도예요,0
RV-0228,2026-06-13,자사몰,ST06,무아레 데스크 캘린더,4,선물용으로 딱이에요,3
RV-0260,2026-06-13,자사몰,FB03,무아레 워시드 쿠션커버,1,가격 대비 조금 아쉬워요,1
RV-0271,2026-06-13,자사몰,TW04,무아레 웨이브 플레이트 2P,4,묵직하고 질감이 좋아요,0
RV-0278,2026-06-13,자사몰,TW02,무아레 웨이브 머그,4,전자레인지도 되고 실용적이에요,1
