order_id,주문일,채널,sku,제품명,맛,수량,판매단가,판매금액,주문상태,배송지역,기획전,배송비
CPG-260501-016,2026-05-01,쿠팡,SLM-SHK-21,슬림쉐이크 9종 21입,얼그레이밀크티,1,64200,64200,결제완료,대구,,0
CPG-260501-017,2026-05-01,쿠팡,PRO-MAX-12,프로틴 드링크 맥스 12입,오리지널,1,40700,40700,배송완료,경기,,0
CPG-260501-017,2026-05-01,쿠팡,SLM-SHK-35,슬림쉐이크 9종 35입,바나나,1,91700,91700,배송완료,경기,,0
CPG-260501-018,2026-05-01,쿠팡,PRO-MAX-12,프로틴 드링크 맥스 12입,바나나,2,40700,81400,배송완료,경기,,0
CPG-260501-018,2026-05-01,쿠팡,SLM-SHK-21,슬림쉐이크 9종 21입,녹차,1,64200,64200,배송완료,경기,,0
CPG-260501-019,2026-05-01,쿠팡,CRN-SHK-10,크런치 단백질 셰이크 10회분,-,1,35600,35600,배송완료,서울,,0
KLY-260501-001,2026-05-01,마켓컬리,SLM-SHK-21,슬림쉐이크 9종 21입,인절미,1,66000,66000,환불,대구,,0
KLY-260501-001,2026-05-01,마켓컬리,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,바나나,2,47100,94200,환불,대구,,0
KLY-260501-001,2026-05-01,마켓컬리,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,초코,1,47100,47100,환불,대구,,0
MUS-260501-001,2026-05-01,무신사,PRO-MNI-06,프로틴 드링크 미니 6입,오리지널,1,9900,9900,배송완료,부산,,3000
MUS-260501-002,2026-05-01,무신사,CRN-SHK-10,크런치 단백질 셰이크 10회분,-,1,34900,34900,배송완료,광주,,3000
NVR-260501-001,2026-05-01,네이버스토어,GRN-CRN-01,그래놀라 크런치,-,1,6900,6900,배송완료,서울,,3000
NVR-260501-002,2026-05-01,네이버스토어,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,44900,44900,결제완료,서울,,0
NVR-260501-003,2026-05-01,네이버스토어,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,바나나,1,44900,44900,배송완료,기타,,0
NVR-260501-004,2026-05-01,네이버스토어,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,초코,1,44900,44900,배송완료,경기,,0
NVR-260501-005,2026-05-01,네이버스토어,CRN-SHK-10,크런치 단백질 셰이크 10회분,-,1,34900,34900,배송완료,대전,,0
NVR-260501-005,2026-05-01,네이버스토어,PRO-MAX-12,프로틴 드링크 맥스 12입,초코,1,39900,39900,배송완료,대전,,0
OWN-260501-001,2026-05-01,자사몰,SLM-SHK-35,슬림쉐이크 9종 35입,초코,1,89900,89900,배송완료,인천,,0
OWN-260501-001,2026-05-01,자사몰,PRO-MAX-12,프로틴 드링크 맥스 12입,초코,1,39900,39900,배송완료,인천,,0
OWN-260501-002,2026-05-01,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,초코,2,44900,89800,배송완료,서울,,0
OWN-260501-003,2026-05-01,자사몰,GRN-CRN-01,그래놀라 크런치,-,1,6900,6900,배송완료,서울,,0
OWN-260501-003,2026-05-01,자사몰,PRO-MAX-12,프로틴 드링크 맥스 12입,초코,1,39900,39900,배송완료,서울,,0
OWN-260501-004,2026-05-01,자사몰,PRO-MNI-06,프로틴 드링크 미니 6입,오리지널,1,9900,9900,배송완료,경기,,3000
OWN-260501-005,2026-05-01,자사몰,SLM-SHK-21,슬림쉐이크 9종 21입,녹차,1,62900,62900,결제완료,부산,,0
OWN-260501-006,2026-05-01,자사몰,SLM-SHK-35,슬림쉐이크 9종 35입,흑임자,1,89900,89900,배송완료,부산,,0
OWN-260501-006,2026-05-01,자사몰,GRN-CRN-01,그래놀라 크런치,-,1,6900,6900,배송완료,부산,,0
OWN-260501-007,2026-05-01,자사몰,DRL-ACV-30,닥터랩노쉬 ACV 구미 30일,-,1,13900,13900,결제완료,부산,,3000
OWN-260501-008,2026-05-01,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,44900,44900,배송완료,기타,,0
OWN-260501-008,2026-05-01,자사몰,PRO-MAX-12,프로틴 드링크 맥스 12입,초코,1,39900,39900,배송완료,기타,,0
OWN-260501-009,2026-05-01,자사몰,PRO-MAX-12,프로틴 드링크 맥스 12입,딸기,1,39900,39900,배송완료,기타,,0
OWN-260501-009,2026-05-01,자사몰,PRO-MAX-12,프로틴 드링크 맥스 12입,바나나,1,39900,39900,배송완료,기타,,0
OWN-260501-010,2026-05-01,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,44900,44900,배송완료,서울,,0
OWN-260501-011,2026-05-01,자사몰,PRO-MNI-06,프로틴 드링크 미니 6입,커피,1,9900,9900,배송완료,광주,,0
OWN-260501-011,2026-05-01,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,커피,1,44900,44900,배송완료,광주,,0
OWN-260501-012,2026-05-01,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,44900,44900,배송완료,서울,,0
OWN-260501-013,2026-05-01,자사몰,PRO-MNI-06,프로틴 드링크 미니 6입,오리지널,1,9900,9900,배송완료,인천,,3000
OWN-260501-014,2026-05-01,자사몰,SLM-SHK-35,슬림쉐이크 9종 35입,단호박,2,89900,179800,배송완료,대전,,0
OWN-260501-014,2026-05-01,자사몰,SLM-SHK-21,슬림쉐이크 9종 21입,바나나,1,62900,62900,배송완료,대전,,0
OWN-260501-015,2026-05-01,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,오리지널,1,44900,44900,배송완료,대전,,0
OWN-260501-015,2026-05-01,자사몰,CRN-SHK-10,크런치 단백질 셰이크 10회분,-,1,34900,34900,배송완료,대전,,0
CPG-260502-001,2026-05-02,쿠팡,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,커피,1,41200,41200,배송완료,대구,퍼펙트 리뉴얼 사전예약 오픈,0
CPG-260502-002,2026-05-02,쿠팡,PRO-MNI-06,프로틴 드링크 미니 6입,초코,1,10100,10100,배송완료,경기,,0
CPG-260502-002,2026-05-02,쿠팡,PRO-MAX-12,프로틴 드링크 맥스 12입,오리지널,1,40700,40700,배송완료,경기,,0
CPG-260502-003,2026-05-02,쿠팡,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,바나나,1,41200,41200,배송완료,기타,퍼펙트 리뉴얼 사전예약 오픈,0
CPG-260502-003,2026-05-02,쿠팡,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,커피,1,41200,41200,배송완료,기타,퍼펙트 리뉴얼 사전예약 오픈,0
CPG-260502-003,2026-05-02,쿠팡,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,오리지널,2,41200,82400,배송완료,기타,퍼펙트 리뉴얼 사전예약 오픈,0
CPG-260502-004,2026-05-02,쿠팡,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,오리지널,1,41200,41200,배송완료,인천,퍼펙트 리뉴얼 사전예약 오픈,0
CPG-260502-005,2026-05-02,쿠팡,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,오리지널,1,41200,41200,결제완료,경기,퍼펙트 리뉴얼 사전예약 오픈,0
CPG-260502-006,2026-05-02,쿠팡,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,초코,1,41200,41200,배송완료,서울,퍼펙트 리뉴얼 사전예약 오픈,0
CPG-260502-007,2026-05-02,쿠팡,PRO-MAX-12,프로틴 드링크 맥스 12입,오리지널,1,40700,40700,배송완료,서울,,0
CPG-260502-008,2026-05-02,쿠팡,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,41200,41200,결제완료,광주,퍼펙트 리뉴얼 사전예약 오픈,0
CPG-260502-009,2026-05-02,쿠팡,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,바나나,1,41200,41200,배송완료,서울,퍼펙트 리뉴얼 사전예약 오픈,0
CPG-260502-010,2026-05-02,쿠팡,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,커피,1,41200,41200,배송완료,경기,퍼펙트 리뉴얼 사전예약 오픈,0
CPG-260502-011,2026-05-02,쿠팡,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,바나나,1,41200,41200,배송완료,서울,퍼펙트 리뉴얼 사전예약 오픈,0
CPG-260502-011,2026-05-02,쿠팡,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,커피,1,41200,41200,배송완료,서울,퍼펙트 리뉴얼 사전예약 오픈,0
CPG-260502-011,2026-05-02,쿠팡,CRN-SHK-10,크런치 단백질 셰이크 10회분,-,1,35600,35600,배송완료,서울,,0
CPG-260502-012,2026-05-02,쿠팡,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,41200,41200,배송완료,서울,퍼펙트 리뉴얼 사전예약 오픈,0
KLY-260502-001,2026-05-02,마켓컬리,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,42400,42400,배송완료,인천,퍼펙트 리뉴얼 사전예약 오픈,0
KLY-260502-001,2026-05-02,마켓컬리,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,커피,1,42400,42400,배송완료,인천,퍼펙트 리뉴얼 사전예약 오픈,0
KLY-260502-002,2026-05-02,마켓컬리,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,오리지널,1,42400,42400,배송완료,부산,퍼펙트 리뉴얼 사전예약 오픈,0
KLY-260502-003,2026-05-02,마켓컬리,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,42400,42400,배송완료,광주,퍼펙트 리뉴얼 사전예약 오픈,0
KLY-260502-004,2026-05-02,마켓컬리,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,42400,42400,배송완료,서울,퍼펙트 리뉴얼 사전예약 오픈,0
KLY-260502-004,2026-05-02,마켓컬리,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,바나나,1,42400,42400,배송완료,서울,퍼펙트 리뉴얼 사전예약 오픈,0
KLY-260502-005,2026-05-02,마켓컬리,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,바나나,1,42400,42400,배송완료,인천,퍼펙트 리뉴얼 사전예약 오픈,0
KLY-260502-006,2026-05-02,마켓컬리,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,초코,1,42400,42400,배송완료,대전,퍼펙트 리뉴얼 사전예약 오픈,0
KLY-260502-007,2026-05-02,마켓컬리,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,초코,1,42400,42400,배송완료,인천,퍼펙트 리뉴얼 사전예약 오픈,0
KLY-260502-008,2026-05-02,마켓컬리,SLM-SHK-35,슬림쉐이크 9종 35입,얼그레이밀크티,1,94400,94400,배송완료,광주,,0
MUS-260502-001,2026-05-02,무신사,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,2,40400,80800,교환,부산,퍼펙트 리뉴얼 사전예약 오픈,0
MUS-260502-001,2026-05-02,무신사,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,40400,40400,교환,부산,퍼펙트 리뉴얼 사전예약 오픈,0
NVR-260502-001,2026-05-02,네이버스토어,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,바나나,2,40400,80800,배송완료,인천,퍼펙트 리뉴얼 사전예약 오픈,0
NVR-260502-002,2026-05-02,네이버스토어,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,바나나,1,40400,40400,배송완료,기타,퍼펙트 리뉴얼 사전예약 오픈,0
NVR-260502-003,2026-05-02,네이버스토어,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,오리지널,1,40400,40400,배송완료,기타,퍼펙트 리뉴얼 사전예약 오픈,0
NVR-260502-003,2026-05-02,네이버스토어,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,오리지널,1,40400,40400,배송완료,기타,퍼펙트 리뉴얼 사전예약 오픈,0
NVR-260502-004,2026-05-02,네이버스토어,PRO-MAX-12,프로틴 드링크 맥스 12입,딸기,1,39900,39900,결제완료,기타,,0
NVR-260502-004,2026-05-02,네이버스토어,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,오리지널,1,40400,40400,결제완료,기타,퍼펙트 리뉴얼 사전예약 오픈,0
NVR-260502-005,2026-05-02,네이버스토어,PRO-MAX-12,프로틴 드링크 맥스 12입,초코,1,39900,39900,배송완료,부산,,0
NVR-260502-005,2026-05-02,네이버스토어,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,초코,1,40400,40400,배송완료,부산,퍼펙트 리뉴얼 사전예약 오픈,0
NVR-260502-006,2026-05-02,네이버스토어,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,초코,1,40400,40400,결제완료,부산,퍼펙트 리뉴얼 사전예약 오픈,0
NVR-260502-007,2026-05-02,네이버스토어,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,바나나,1,40400,40400,배송완료,경기,퍼펙트 리뉴얼 사전예약 오픈,0
NVR-260502-008,2026-05-02,네이버스토어,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,40400,40400,배송완료,인천,퍼펙트 리뉴얼 사전예약 오픈,0
NVR-260502-009,2026-05-02,네이버스토어,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,커피,2,40400,80800,배송완료,경기,퍼펙트 리뉴얼 사전예약 오픈,0
NVR-260502-009,2026-05-02,네이버스토어,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,오리지널,1,40400,40400,배송완료,경기,퍼펙트 리뉴얼 사전예약 오픈,0
NVR-260502-010,2026-05-02,네이버스토어,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,초코,2,40400,80800,배송완료,서울,퍼펙트 리뉴얼 사전예약 오픈,0
NVR-260502-011,2026-05-02,네이버스토어,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,초코,1,40400,40400,배송완료,대전,퍼펙트 리뉴얼 사전예약 오픈,0
NVR-260502-012,2026-05-02,네이버스토어,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,바나나,2,40400,80800,배송완료,대구,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-001,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,40400,40400,배송완료,대전,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-002,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,40400,40400,교환,대전,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-003,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,오리지널,1,40400,40400,배송완료,부산,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-004,2026-05-02,자사몰,PRO-MNI-06,프로틴 드링크 미니 6입,바나나,2,9900,19800,배송완료,광주,,3000
OWN-260502-005,2026-05-02,자사몰,SLM-SHK-21,슬림쉐이크 9종 21입,바나나,1,62900,62900,배송완료,대전,,0
OWN-260502-006,2026-05-02,자사몰,CRN-SHK-10,크런치 단백질 셰이크 10회분,-,1,34900,34900,배송완료,대구,,0
OWN-260502-006,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,바나나,2,40400,80800,배송완료,대구,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-007,2026-05-02,자사몰,PRO-MNI-06,프로틴 드링크 미니 6입,초코,1,9900,9900,배송완료,인천,,3000
OWN-260502-008,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,바나나,1,40400,40400,배송완료,대구,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-008,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,40400,40400,배송완료,대구,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-009,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,커피,1,40400,40400,배송완료,기타,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-009,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,오리지널,1,40400,40400,배송완료,기타,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-010,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,바나나,1,40400,40400,배송완료,대전,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-011,2026-05-02,자사몰,PRO-MAX-12,프로틴 드링크 맥스 12입,초코,1,39900,39900,배송완료,서울,,0
OWN-260502-011,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,바나나,1,40400,40400,배송완료,서울,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-012,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,커피,1,40400,40400,교환,대구,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-013,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,바나나,1,40400,40400,배송완료,서울,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-014,2026-05-02,자사몰,SLM-SHK-21,슬림쉐이크 9종 21입,녹차,1,62900,62900,배송완료,기타,,0
OWN-260502-015,2026-05-02,자사몰,CRN-SHK-10,크런치 단백질 셰이크 10회분,-,1,34900,34900,배송완료,대구,,0
OWN-260502-016,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,40400,40400,결제완료,인천,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-017,2026-05-02,자사몰,GRN-CRN-01,그래놀라 크런치,-,1,6900,6900,결제완료,대전,,3000
OWN-260502-018,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,초코,1,40400,40400,배송완료,경기,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-019,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,오리지널,1,40400,40400,배송완료,경기,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-019,2026-05-02,자사몰,PRO-MAX-12,프로틴 드링크 맥스 12입,딸기,1,39900,39900,배송완료,경기,,0
OWN-260502-020,2026-05-02,자사몰,DRL-ACV-30,닥터랩노쉬 ACV 구미 30일,-,1,13900,13900,배송완료,광주,,3000
OWN-260502-021,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,2,40400,80800,배송완료,부산,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-021,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,바나나,2,40400,80800,배송완료,부산,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-022,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,2,40400,80800,배송완료,대전,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-023,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,바나나,1,40400,40400,교환,기타,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-024,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,커피,2,40400,80800,배송완료,기타,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-024,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,오리지널,1,40400,40400,배송완료,기타,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-025,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,초코,1,40400,40400,배송완료,기타,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-026,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,커피,2,40400,80800,배송완료,광주,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-027,2026-05-02,자사몰,GRN-CRN-01,그래놀라 크런치,-,1,6900,6900,배송완료,대구,,3000
OWN-260502-028,2026-05-02,자사몰,PRO-MNI-06,프로틴 드링크 미니 6입,딸기,1,9900,9900,배송완료,기타,,3000
OWN-260502-029,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,초코,1,40400,40400,배송완료,경기,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-030,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,40400,40400,배송완료,인천,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-031,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,오리지널,1,40400,40400,배송완료,경기,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-032,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,커피,1,40400,40400,배송완료,서울,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-032,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,40400,40400,배송완료,서울,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-033,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,커피,1,40400,40400,배송완료,인천,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-034,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,오리지널,1,40400,40400,배송완료,기타,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-034,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,오리지널,1,40400,40400,배송완료,기타,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-035,2026-05-02,자사몰,SLM-SHK-35,슬림쉐이크 9종 35입,딸기,1,89900,89900,배송완료,대구,,0
OWN-260502-036,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,40400,40400,배송완료,대구,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-037,2026-05-02,자사몰,SLM-SHK-21,슬림쉐이크 9종 21입,초코,1,62900,62900,배송완료,대구,,0
OWN-260502-038,2026-05-02,자사몰,SLM-SHK-21,슬림쉐이크 9종 21입,딸기,1,62900,62900,배송완료,서울,,0
OWN-260502-039,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,오리지널,1,40400,40400,배송완료,인천,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-039,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,오리지널,1,40400,40400,배송완료,인천,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-039,2026-05-02,자사몰,PRO-MAX-12,프로틴 드링크 맥스 12입,오리지널,1,39900,39900,배송완료,인천,,0
OWN-260502-040,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,40400,40400,결제완료,기타,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-041,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,커피,1,40400,40400,배송완료,광주,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-042,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,초코,1,40400,40400,배송완료,대전,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-043,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,40400,40400,배송완료,부산,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-044,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,오리지널,1,40400,40400,배송완료,부산,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-044,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,40400,40400,배송완료,부산,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-045,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,오리지널,1,40400,40400,배송완료,인천,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-045,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,40400,40400,배송완료,인천,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-046,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,바나나,1,40400,40400,배송완료,서울,퍼펙트 리뉴얼 사전예약 오픈,0
OWN-260502-047,2026-05-02,자사몰,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,40400,40400,배송완료,기타,퍼펙트 리뉴얼 사전예약 오픈,0
